https://gitlab.com/infamoustrey/stockify,A stock market monitoring web app,market monitoring
https://gitlab.com/magicokeys/web-ams,Website for Attendance Monitoring System,website monitoring
https://gitlab.com/tolster710/slackbot_template,"Contains boilerplate for slack website/URL monitoring service.
Supports:
1. Multiple endpoints + http(s), and specific ports [using python requests]
2. Queryable interface / presence on slack channel
3. Cron-able to check endpoints every N min.",website monitoring
https://gitlab.com/franklopeslr/hiawatha,"Hiawatha is an open source webserver with security, easy to use and lightweight as the three key features. Hiawatha supports among others (Fast)CGI, IPv6, URL rewriting and reverse proxy. It has security features no other webserver has, like blocking SQL injections, XSS and CSRF attacks and exploit attempts. The built-in monitoring tool makes it perfect for large scale deployments.

Hiawatha project website: https://www.hiawatha-webserver.org/",website monitoring
https://gitlab.com/drentsoft/hiawatha,"Hiawatha is an open source webserver with security, easy to use and lightweight as the three key features. Hiawatha supports among others (Fast)CGI, IPv6, URL rewriting and reverse proxy. It has security features no other webserver has, like blocking SQL injections, XSS and CSRF attacks and exploit attempts. The built-in monitoring tool makes it perfect for large scale deployments.

Hiawatha project website: https://www.hiawatha-webserver.org/",website monitoring
https://gitlab.com/nicogiessmann/lamp-systemmonitoring,"Automatisches Installationsskript und Skripte fÃ¼r einfaches Systemmonitoring unter Ubuntu Linux mit Apache2, PHP7.2 und MySQL-Server. Bereitstellung von log-Datei und Website.
",website monitoring
https://gitlab.com/cyberhippo/MoniPy,Website monitoring tool in Python,website monitoring
https://gitlab.com/Gazer022/hiawatha,"Hiawatha is an open source webserver with security, easy to use and lightweight as the three key features. Hiawatha supports among others (Fast)CGI, IPv6, URL rewriting and reverse proxy. It has security features no other webserver has, like blocking SQL injections, XSS and CSRF attacks and exploit attempts. The built-in monitoring tool makes it perfect for large scale deployments.

Hiawatha project website: https://www.hiawatha-webserver.org/",website monitoring
https://gitlab.com/zeddinarief/jasatirtanms,website monitoring using openlayers map to show customer location,website monitoring
https://gitlab.com/privy-edge/hiawatha,"Hiawatha is an open source webserver with security, easy to use and lightweight as the three key features. Hiawatha supports among others (Fast)CGI, IPv6, URL rewriting and reverse proxy. It has security features no other webserver has, like blocking SQL injections, XSS and CSRF attacks and exploit attempts. The built-in monitoring tool makes it perfect for large scale deployments.

Hiawatha project website: https://www.hiawatha-webserver.org/",website monitoring
https://gitlab.com/laurensius-dede-suhardiman/IoT-Project-Site,Website untuk monitoring suhu dan kelembaban,website monitoring
https://gitlab.com/oxmoto/web-performance-monitoring,ğŸ�� a daily gitlab-ci task for web-performance monitoring of multiple websites,website monitoring
https://gitlab.com/codecopy/hiawatha,"Hiawatha is an open source webserver with security, easy to use and lightweight as the three key features. Hiawatha supports among others (Fast)CGI, IPv6, URL rewriting and reverse proxy. It has security features no other webserver has, like blocking SQL injections, XSS and CSRF attacks and exploit attempts. The built-in monitoring tool makes it perfect for large scale deployments.

Hiawatha project website: https://www.hiawatha-webserver.org/",website monitoring
https://gitlab.com/James_E/hiawatha,"Hiawatha is an open source webserver with security, easy to use and lightweight as the three key features. Hiawatha supports among others (Fast)CGI, IPv6, URL rewriting and reverse proxy. It has security features no other webserver has, like blocking SQL injections, XSS and CSRF attacks and exploit attempts. The built-in monitoring tool makes it perfect for large scale deployments.

Hiawatha project website: https://www.hiawatha-webserver.org/",website monitoring
https://gitlab.com/adrieng/ddmonitor,Website availability and performance monitoring console program in go,website monitoring
https://gitlab.com/coignetp/website-monitoring,A website monitoring tool as a Datadog exercise.,website monitoring
https://gitlab.com/danielmohr/Pinger,"Pinger is a simple but elegant chrome extension for monitoring the status of a remote server, website or a remote DB.",website monitoring
https://gitlab.com/danielmohr/pingbot,A website monitoring/health-checking tool based on serverless architecture.,website monitoring
https://gitlab.com/samsulmaarif/isims,FITUR - Manajemen Monitoring Pembelajaran - Pengaturan Website Dinamis - Manajemen Nilai dan Raport - Manajemen Jurnal Mengajar - Manajemen Kenaikan Kelas - Manajemen Absensi Siswa - Manajemen User - Kalkulator,website monitoring
https://gitlab.com/hsleisink/hiawatha,"Hiawatha is an open source webserver with security, easy to use and lightweight as the three key features. Hiawatha supports among others (Fast)CGI, IPv6, URL rewriting and reverse proxy. It has security features no other webserver has, like blocking SQL injections, XSS and CSRF attacks and exploit attempts. The built-in monitoring tool makes it perfect for large scale deployments.

Hiawatha project website: https://www.hiawatha-webserver.org/",website monitoring
https://gitlab.com/garfunkel/PingThing-Android,A server and website availability monitoring app for Android.,website monitoring
https://gitlab.com/mybees.space/mybees-server,Node.js API and Website for the MyBees Open Source Beehive monitoring Project,website monitoring
https://gitlab.com/deletos/devopscamp-challenge-monitoring,Creating monitoring setup in order to trigger health/sanitychecks to a website  ,website monitoring
https://gitlab.com/perfectomobilepresales/aw-unibet-mon-splunk,Demo Project - Unibet Websites in UK and AU - simple response time monitoring dumping data into Splunk,website monitoring
https://gitlab.com/radek-sprta/vigil,Vigil is a website monitoring command-line application. It periodically checks websites for changes and notifies user by email.,website monitoring
https://gitlab.com/gpestana/web_monitor,monitoring tool for web site administrators for detecting problems on websites,website monitoring
https://gitlab.com/rdomingonl/sitemonitoring-production,free open source website monitoring software,website monitoring
https://gitlab.com/wkm/Axirassa,A now-defunct project to create a website uptime monitoring service,website monitoring
https://gitlab.com/c12f20/affiliateapp-android,A general affiliate application to view/tracking products from multiple affiliate website.,website tracking
https://gitlab.com/eiglow/pikatrack,Activity tracking website primarily for running and cycling.,website tracking
https://gitlab.com/pokeguru87/deep-dungeon-tracker,A website for tracking Deep Dungeon experience in Final Fantasy XIV for all classes simultanously.,website tracking
https://gitlab.com/priestd09/pikatrack,Activity tracking website primarily for running and cycling.,website tracking
https://gitlab.com/jorrellh/pikatrack,Activity tracking website primarily for running and cycling.,website tracking
https://gitlab.com/amrikasir/laravel-popular,A Laravel package for tracking popular entries(by Models) of a website in a certain time,website tracking
https://gitlab.com/chriscowleysound/pikatrack,Activity tracking website primarily for running and cycling.,website tracking
https://gitlab.com/npal/grupaprekoveze,"Project built for the ""Software Design"" module of the University of Zagreb's Faculty of Electrical Engineering and Computing. Goal of the project was to build a modern website service for tracking expenditures and revenues.",website tracking
https://gitlab.com/mihaieredani/URL-Tracking-Chrome-Extension," That is a Google Chrome extension which tracking current tabs or new tabs from Chrome and save from all tabs the time spent on it, the host, the url and date open and close.All that informations will be sent to a database and with a backend in Laravel from all customers will be c reated a dashboard with charts and all informations about each customer who use out extension. The company will see top 5 websites with the long time spend on a host and top 5 websites the most opened host.",website tracking
https://gitlab.com/prahaladbelavadi/awesome-quantified-self,":bar_chart: Websites, Resources, Devices, Wearables, Applications, and Platforms for Self Tracking",website tracking
https://gitlab.com/icukaegbu-projects/poploda-web,Website for tracking reports of usage from mobile app,website tracking
https://gitlab.com/gitlab-org/backstage-changelog,"A Middleman website for tracking backstage changes made by GitLab team members.

The live version can be found at https://gitlab-org.gitlab.io/backstage-changelog/.",website tracking
https://gitlab.com/pikatrack/pikatrack,Activity tracking website primarily for running and cycling.,website tracking
https://gitlab.com/CorruptedValor/tides-of-war-site,A website for tracking stats and creating match-up lists,website tracking
https://gitlab.com/lamka02sk/contain-google,Google Container isolates your Google activity from the rest of your web activity in order to prevent Google from tracking you outside of the Google website via third party cookies.,website tracking
https://gitlab.com/l1k3m/wp-analytics,A very simple Google Analytics handler that injects the tracking code into your Wordpress website.,website tracking
https://gitlab.com/LeonP92/recipeitor,A basic recipe tracking website,website tracking
https://gitlab.com/rilis/rilis,Rilis projects official website generator and issue tracking repository,website tracking
https://gitlab.com/daffyhate3354/TrackerSpy,"this is tracking app. this application track to your call detail, sms , location and contact detail. application hide option are available into download application into website.Hide TrackerSpy application in one Minute.",website tracking
https://gitlab.com/Nicd/rekkaritarkkailu,A website for tracking vehicle licence plate spotting progress.,website tracking
https://gitlab.com/democracy-tools/democracy,"A web content management system (CMS) for operating websites focused on tracking governmental and political information; such as elections, candidates, political parties, platforms, governments, government officials, issues, policies, legislation, an",website tracking
