,url,description,topic,group,method,source,source_type,DS
0,https://gitlab.com/zeddinarief/jasatirtanms,website monitoring using openlayers map to show customer location,Behavioural tracking,Advertising,Crawler search,Gitlab,Software registry,YES
1,https://patents.google.com/patent/US8725794B2/en,"An enhanced tracking system comprises an enhanced tracking server for storing and remotely executing one or more third party tags that have been removed from a client website. As a result, a visitor browser only needs to process the webpage itself such that the …",Behavioural tracking,Advertising,Crawler search,Google scholar,Research,YES
2,https://www.tandfonline.com/doi/abs/10.1080/10447318.2012.728493,"Cognitive decline is inherent with age. Despite known cognitive limitations, older adults are generally not taken into account during website design. Understanding age-related differences in website navigation is instructive for website design, especially considering the …",Behavioural tracking,Advertising,Crawler search,Google scholar,Research,YES
3,https://patents.google.com/patent/US8683056B2/en,"A system and method for analyzing traffic to a website is provided that is based on log files and that uses both server-side and client-side information channeled through one source to create a more complete picture of activity to a website. In one preferred embodiment, a …",Behavioural tracking,Advertising,Crawler search,Google scholar,Research,YES
4,https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=9916611&KC=B2&date=20180313&locale=en_EP,"A system and method is disclosed for collecting website visitor activity for profiling visitor interests and dynamically modifying the content of the website to better match the visitor's profile. The visitor activity data is collected directly from the visitor's client browser or from the website's own web log information. The collected data consists of the page identifier, page links, and the previous page identifier. Similarly, the modified page content can be sent directly to the client browser or can be sent back to the website server for integration with the other page content. The collected data is stored in a database. Based on the amount of information collected on the visitor and the various items that are presented on the website, the visitors and items are profiled so that a visitor's response to other items can be predicted and recommended to the visitor. The recommendations can be requested and displayed directly by and to the client browser or the website server can make the request and subsequently display the matching content. The system has application in personalization, behavioral targeting, Internet retailing, social networking, affiliate marketing, and online advertising, to name but a few applications.",Behavioural tracking,Advertising,Crawler search,EU Patents Database,Software registry,YES
5,https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=9516035&KC=B1&date=20161206&locale=en_EP,"Methods and systems for behavioral profiling, and in particular, utilizing crowd-managed data architectures to store and manage that profile, are described. In some embodiments, a method includes observing behavioral characteristics of user interactions during a current session with the user through one of a plurality of channels. Variations between the behavioral characteristics of the user interactions observed during the current session and a behavioral profile previously developed based on prior usage patterns of the user through the plurality of channels are identified, in real-time or near real-time.",Behavioural tracking,Advertising,Crawler search,EU Patents Database,Software registry,YES
6,https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=7987182&KC=B2&date=20110726&locale=en_EP,"A embodiment is disclosed for learning user interests based on user actions and then applying the learned knowledge to rank, recommend, and/or filter items, such as e-mail spam, based on the level of interest to a user. The embodiment may be used for automated personalized information learning, recommendation, and/or filtering systems in applications such as television programming, web-based auctions, targeted advertising, and electronic mail filtering. The embodiment may be structured to generate item descriptions, learn items of interest, learn terms that effectively describe the items, cluster similar items in a compact data structure, and then use the structure to rank new offerings.",Behavioural tracking,Advertising,Crawler search,EU Patents Database,Software registry,YES
7,https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=7634785&KC=B2&date=20091215&locale=en_EP,"DVR-based targeted advertising is described. In an embodiment, a targeted advertisement system includes a DVR, an advertisement data store, and an advertisement manager. The DVR records media content, maintains the recorded media content for on-demand viewing, and provides the recorded media content for viewing when requested. The advertisement manager designates advertisement region(s) in the recorded media content as the media content is being recorded, where an advertisement region includes a first boundary and a second boundary to designate the advertisement region in the media content. The advertisement manager monitors a first data stream of the recorded media content when it is rendered for viewing to detect that a playback position of the first data stream has crossed an advertisement region boundary, and to initiate that an advertisement obtained from the advertisement data store be provided as a second data stream to render the advertisement for viewing.",Behavioural tracking,Advertising,Crawler search,EU Patents Database,Software registry,YES
8,https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=6950804&KC=B2&date=20050927&locale=en_EP,"A method of delivering content from a content delivery system to a user's terminal over a communication link that provides users with flexibility in determining how to pay for content, one option being to receive targeted advertising with the content. Other options presented to the user involve various methods of paying for limited or unlimited access to the content. Therefore, the status in terms of whether access is free for each available content item relative to each user is tracked using a tracking database.",Behavioural tracking,Advertising,Crawler search,EU Patents Database,Software registry,YES
9,https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=8090358&KC=B2&date=20120103&locale=en_EP,"Methods and computer-readable media are provided for providing targeted advertising to subscriber devices based on the location of the subscriber device and a set of advertiser-defined and subscriber-defined criteria. In one embodiment, the method includes retrieving location information that identifies the location of the subscriber device. Advertising is matched and transmitted to the subscriber device according to the location of the device. Matching advertising to the subscriber device is based on a set of advertiser-defined matching criteria that matches both the location of the subscriber device and a set of subscriber characteristics stored in a subscriber profile. A subscriber may define a set of parameters within the subscriber profile that further filters the set of matched advertisements.",Behavioural tracking,Advertising,Crawler search,EU Patents Database,Software registry,YES
10,https://patents.google.com/patent/US7680892B2/en,"A system for monitoring email and website behavior of an email recipient is provided. According to one exemplary embodiment, the system includes a mail enhancement server and a logging server. The mail enhancement server is configured to intercept all outgoing …",Behavioural tracking,Advertising,Crawler search,Google scholar,Research,YES
11,https://doi.org/10.1145/2851613.2851680,Accessibility evaluation of rich internet applications interface components for mobile screen readers.,Failure of Web accessibility,Compliance,Crawler search,DBLP,Research,YES
12,https://play.google.com/store/apps/details?id=com.trustlook.antivirus&referrer=utm_source%3D42matters.com%26utm_medium%3Dapi,"Antivirus Security use accessibility services to improve boost feature in some devices.

Most Efficient Antivirus & Security app in Google Play Store. 
Easy Scan & Deep Clean Android devices.
UPDATE: Scan for the latest Adups security breach (unauthorized data loss to China). 
#1 Antivirus Engine by AVTEST
https://www.av-test.org/en/antivirus/mobile-devices/manufacturer/trustlook/

Trustlook Antivirus & Mobile Security is an FULL-FEATURED antivirus & security app which can scan viruses, malware, spyware, trojans, phishing attempts, unsafe web browsing and any threats on your devices. Based on next-generation behavior detection technology, Trustlook delivers one of the fastest virus scan in mobile security industry. 

Why you need Antivirus App?

With cyberattacks and malicious apps targeting Android smartphones increasing in frequency, everyone may be at risk of financial loss or information disclosure. Trustlook Antivirus Mobile Security can help to warn discovered potential risks, clear existed threats, provide a comprehensive protection to enhance your phone security safer.

What you can do with Trustlook Antivirus Mobile Security?

✓ Antivirus Cleaner & Security Protection - Provide real-time malware/virus protection to ensure phone safety, antivirus security
✓ Scan - 1-click to Scan Virus, Junk, Web, Apps, Media, Settings and resolve all
✓ Boost Cleaner - Clean cache/junk/memory, Optimize battery & storage to Boost phone speed
✓ App Manager - Manage/Backup/Uninstall existed apps on your device
✓ Backup & Restore - Batch Backup apps, contacts, calls, SMS to enhance data security
✓ Find Device & Antitheft - Find/Lock/Wipe your lost or stolen mobile devices
✓ Wi-Fi Security - Monitor surrounding Wi-Fi and point dangerous ones out
✓ ID Check - Scan & Check to see if your email address has been hacked
✓ Web Protection - Scan website URLs to prevent phishing and inappropriate websites to kids
✓ Payment Security - Detect payment environment before purchasing online

Highlights of Trustlook Antivirus Mobile Security

★ All-in-One: Get everything on your device. All featured with Virus Scan, Virus Cleaner, Speed booster, Phone Booster, Phone Cleaner, App Manager, Backup & Restore, Find Device, Wi-Fi Security, ID Check and so on
★ Advanced Real-time Protection: Our state-of-the-art antivirus protection technology does real-time detection and keeps malicious apps or harmful viruses away from your devices
★ Trusted Source: We are the built-in virus scan engine of Huawei phones and are headquartered in the heart of Silicon Valley
★ Keep Updating: Scan vulnerabilities like BadKernel, Stage Fright, Heartbleed, Adups…

Install Trustlook Antivirus Mobile Security app to start receiving the best malware/virus protection available!",Failure of Web accessibility,Compliance,Crawler search,Google play,Software registry,YES
13,https://dl.acm.org/citation.cfm?id=1243465,"This paper raises the need for quantitative accessibility measurement and proposes three different application scenarios where quantitative accessibility metrics are useful: Quality Assurance within Web Engineering, Information Retrieval and accessibility monitoring. We …",Failure of Web accessibility,Compliance,Crawler search,Google scholar,Research,YES
14,https://link.springer.com/chapter/10.1007/11788713_24,Testing accessibility of a web site is still an art. Lack of appropriate definitions of accessibility and of standard testing methods are some of the reasons why Web accessibility is so difficult to achieve. The paper describes a heuristic walkthrough method based on barriers; it then …,Failure of Web accessibility,Compliance,Crawler search,Google scholar,Research,YES
15,https://www.emeraldinsight.com/doi/abs/10.1108/07378830110384584,"The Americans with Disabilities Act (ADA) mandates that library programs and services must be accessible to people with disabilities. In an era in which much information resides in digitalized form on the WWW, the ADA's mandate must be interpreted as applying not only to …",Failure of Web accessibility,Compliance,Crawler search,Google scholar,Research,YES
